,day,jurisdiction,NPI,S,E,P,I,A,R,D
462,33,0,0,228942,15,12,4,5,17,0
463,33,1,0,129037,1,0,0,0,1,0
464,33,2,0,578970,67,39,38,25,69,0
465,33,3,0,20605,0,0,0,0,0,0
466,33,4,0,809515,83,60,56,24,89,0
467,33,5,0,71001,3,7,5,3,9,0
468,33,6,0,465771,19,15,3,8,23,0
469,33,7,0,162278,9,6,8,4,11,0
470,33,8,0,1631537,124,121,86,37,123,0
471,33,9,0,14251,0,0,0,0,0,0
472,33,10,0,725696,60,55,38,21,62,1
473,33,11,0,530529,85,47,54,23,81,0
474,33,12,0,800808,37,20,18,9,38,0
475,33,13,0,861689,121,94,61,31,120,2
476,34,0,0,228935,19,13,4,5,19,0
477,34,1,0,129037,0,1,0,0,1,0
478,34,2,0,578953,64,52,43,24,72,0
479,34,3,0,20605,0,0,0,0,0,0
480,34,4,0,809491,91,58,64,27,96,0
481,34,5,0,70999,4,6,6,4,9,0
482,34,6,0,465758,28,12,7,9,25,0
483,34,7,0,162277,9,6,9,4,11,0
484,34,8,0,1631478,160,106,100,46,138,0
485,34,9,0,14251,0,0,0,0,0,0
486,34,10,0,725666,73,59,40,26,68,1
487,34,11,0,530500,90,64,47,26,92,0
488,34,12,0,800791,45,26,17,8,43,0
489,34,13,0,861648,132,105,64,33,134,2
490,35,0,0,228927,24,12,6,6,20,0
491,35,1,0,129036,1,1,0,0,1,0
492,35,2,0,578931,70,55,43,27,82,0
493,35,3,0,20605,0,0,0,0,0,0
494,35,4,0,809458,100,60,71,30,108,0
495,35,5,0,70997,3,8,4,3,13,0
496,35,6,0,465753,24,19,8,10,25,0
497,35,7,0,162270,15,4,11,5,11,0
498,35,8,0,1631425,170,116,108,58,151,0
499,35,9,0,14251,0,0,0,0,0,0
500,35,10,0,725643,79,61,47,28,74,1
501,35,11,0,530471,86,77,60,24,101,0
502,35,12,0,800776,48,24,27,9,46,0
503,35,13,0,861598,152,102,79,42,143,2
504,36,0,0,228919,27,16,5,6,22,0
505,36,1,0,129036,1,0,0,1,1,0
506,36,2,0,578905,75,63,46,30,89,0
507,36,3,0,20605,0,0,0,0,0,0
508,36,4,0,809415,114,78,74,25,121,0
509,36,5,0,70989,10,8,5,3,13,0
510,36,6,0,465743,28,21,7,10,30,0
511,36,7,0,162267,11,9,11,6,12,0
512,36,8,0,1631361,187,124,119,57,180,0
513,36,9,0,14251,0,0,0,0,0,0
514,36,10,0,725612,88,68,51,32,81,1
515,36,11,0,530431,106,80,51,36,115,0
516,36,12,0,800760,53,27,27,11,52,0
517,36,13,0,861547,168,107,98,43,153,2
518,37,0,0,228913,23,23,7,6,23,0
519,37,1,0,129036,1,0,0,1,1,0
520,37,2,0,578874,91,64,50,32,97,0
521,37,3,0,20605,0,0,0,0,0,0
522,37,4,0,809375,124,91,79,22,136,0
523,37,5,0,70984,12,9,7,3,13,0
524,37,6,0,465731,29,25,13,11,30,0
525,37,7,0,162262,12,12,11,6,13,0
526,37,8,0,1631300,196,138,126,65,203,1
527,37,9,0,14251,0,0,0,0,0,0
528,37,10,0,725588,82,86,58,28,90,1
529,37,11,0,530397,113,87,58,35,129,0
530,37,12,0,800741,59,34,24,15,57,0
531,37,13,0,861482,198,118,96,47,175,2
532,38,0,0,228902,26,25,10,7,25,0
533,38,1,0,129036,1,0,0,1,1,0
534,38,2,0,578834,107,71,54,33,109,0
535,38,3,0,20605,0,0,0,0,0,0
536,38,4,0,809336,121,111,81,26,152,0
537,38,5,0,70982,11,12,7,2,14,0
538,38,6,0,465718,36,24,17,11,33,0
539,38,7,0,162255,17,12,13,6,13,0
540,38,8,0,1631220,223,153,130,73,229,1
541,38,9,0,14251,0,0,0,0,0,0
542,38,10,0,725553,98,93,58,27,103,1
543,38,11,0,530364,124,90,61,38,142,1
544,38,12,0,800724,64,37,23,16,66,0
545,38,13,0,861436,194,142,102,52,190,2
546,39,0,0,228895,26,27,12,7,28,0
547,39,1,0,129034,3,0,0,1,1,0
548,39,2,0,578800,114,80,59,38,117,0
549,39,3,0,20605,0,0,0,0,0,0
550,39,4,0,809277,145,112,84,38,171,0
551,39,5,0,70979,11,12,6,2,18,0
552,39,6,0,465701,41,29,21,10,37,0
553,39,7,0,162248,24,9,15,5,15,0
554,39,8,0,1631124,258,175,147,67,257,1
555,39,9,0,14251,0,0,0,0,0,0
556,39,10,0,725502,119,102,61,37,111,1
557,39,11,0,530327,135,91,59,51,156,1
558,39,12,0,800706,59,53,18,17,77,0
559,39,13,0,861379,194,165,111,58,209,2
560,40,0,0,228882,34,25,13,10,31,0
561,40,1,0,129033,3,1,0,1,1,0
562,40,2,0,578757,125,100,61,34,131,0
563,40,3,0,20605,0,0,0,0,0,0
564,40,4,0,809228,148,130,90,43,188,0
565,40,5,0,70972,13,12,10,3,18,0
566,40,6,0,465678,51,39,21,9,41,0
567,40,7,0,162240,26,13,14,5,18,0
568,40,8,0,1631041,269,209,140,74,295,1
569,40,9,0,14251,0,0,0,0,0,0
570,40,10,0,725458,130,111,70,42,121,1
571,40,11,0,530291,135,101,71,52,169,1
572,40,12,0,800687,63,53,27,15,85,0
573,40,13,0,861304,220,175,113,66,238,2
574,41,0,0,228863,45,26,18,10,33,0
575,41,1,0,129033,3,1,0,1,1,0
576,41,2,0,578712,137,105,71,40,143,0
